,0,1,article_id,prediction
0,-0.17891941004313852,-1.8089460186078168,803,0
1,-0.16222466061610216,-1.898789146197915,745,0
2,-0.18408853547611756,-1.782971107782086,208,0
3,-0.07000141643403623,-2.6940363439901205,604,0
4,-0.207510960817332,-1.6745330413376043,2847,0
5,-0.16361377688041337,-1.890938390254677,3692,0
6,-2.451413893920886,-0.09011253997697365,3630,1
7,-0.14068338484015666,-2.030760580542801,3643,0
8,-0.14624466091935706,-1.9947056434361914,937,0
9,-0.3115931784172425,-1.3178112850780361,4288,0
10,-0.15686249570476843,-1.9297918954830449,2405,0
11,-0.037616643735772226,-3.299058037715411,3861,0
12,-0.03348050583865809,-3.413485472137765,3305,0
13,-0.002947377456586904,-5.828312828559005,3591,0
14,-0.13690515163520198,-2.0561386553228997,633,0
15,-0.06863691746673986,-2.713046907182857,3165,0
16,-0.11121669865817808,-2.251367761673416,2540,0
17,-0.6296610555094939,-0.7609386682688231,164,0
18,-0.12162968786137603,-2.1669727080155394,1698,0
19,-0.08829758033095662,-2.4708665332246422,3800,0
20,-0.463665695741716,-0.9914825664171674,2351,0
21,-0.060387734092441414,-2.8370111993330687,3973,0
22,-0.04779925660776006,-3.064549623155437,2873,0
23,-0.5650117807777955,-0.8401481994035358,2258,0
24,-0.24470009782918106,-1.5275782789899506,1662,0
25,-0.6283875246014966,-0.762392837449274,348,0
26,-0.08787528002162415,-2.475452650277682,3164,0
27,-0.3046126467297169,-1.3371574260286507,772,0
28,-1.2076918023178567,-0.35508531189472586,4279,1
29,-0.17706362096095785,-1.81847200855811,3148,0
30,-0.10719116431391686,-2.2862583364378466,598,0
31,-0.11145345114054006,-2.249357454957218,4281,0
32,-0.0948723833679641,-2.402283811193834,3085,0
33,-0.18822970998093877,-1.762731223380595,1577,0
34,-0.10043638810376004,-2.348028624284068,266,0
35,-0.6283875246014966,-0.762392837449274,1567,0
36,-0.05936413373443593,-2.85360027782794,1002,0
37,-0.20450507731871936,-1.6876730244847018,1230,0
38,-0.12914377581599,-2.1107060170654495,3157,0
39,-0.2212151770038356,-1.6171888124816294,53,0
40,-0.415999029642516,-1.0778716032812838,688,0
41,-0.33060145746734493,-1.2675924993354368,1246,0
42,-0.14741779088065107,-1.9872881676999112,1660,0
43,-0.4541694196154921,-1.0077898369980778,1675,0
