2018-06-29,192583163,18690898
2018-07-02,154295509,18071890
2018-07-05,131292038,15903571
2018-07-06,136093520,13678864
2018-07-09,142542346,16669444
2018-07-10,140793709,17928619
2018-07-11,195407318,16856844
2018-07-12,178701514,14269308
2018-07-13,179188393,12713836
2018-07-16,173917336,16025038
2018-07-17,207572236,18102650
2018-07-18,189427973,15701551
2018-07-19,233816504,14928128
2018-07-20,184216704,14136088
2018-07-23,159641384,15204951
2018-07-24,189010190,27330531
2018-07-25,170358074,20025071
2018-07-26,195851253,17694444
2018-07-27,151517214,16509942
2018-07-30,163232382,20797886
2018-07-31,167124029,31577417
2018-08-01,148908144,26157742
2018-08-02,148997145,34117440
2018-08-03,124978837,24406498
2018-08-06,126997192,26332110
2018-08-07,131046533,34902011
2018-08-08,134997919,19222202
2018-08-09,136877837,19593701
2018-08-10,127068124,17329749
2018-08-13,132479367,17116356
2018-08-14,156666715,16163906
2018-08-15,160561108,20425594
2018-08-16,185497204,19412914
2018-08-17,158038970,25867220
2018-08-20,148621702,21788832
2018-08-21,186142713,22171790
2018-08-22,178425055,16489747
2018-08-23,198816990,17375492
2018-08-24,232872880,14794523
2018-08-27,318430693,19778416
2018-08-28,137222104,18516002
2018-08-29,126077321,19754010
2018-08-30,112506187,15230387
2018-08-31,135773538,20358749
2018-09-04,148045049,18524534
2018-09-05,175156744,22777391
2018-09-06,152182929,16632352
2018-09-07,151510202,15836137
2018-09-10,145068982,15235521
2018-09-11,146787046,18403016
2018-09-12,143796416,16192642
2018-09-13,167487910,13907155
2018-09-14,142329601,12379261
2018-09-17,145996617,21886826
2018-09-18,150691943,17796670
2018-09-19,133446361,15808211
2018-09-20,147253013,15848462
2018-09-21,302060929,28681860
2018-09-24,212877401,13299489
2018-09-25,154229512,17167956
2018-09-26,144768184,16373606
2018-09-27,121370402,14977518
2018-09-28,141492801,18158829
