,date,exchange_rate
174,2013-06-24,0.948467058056
175,2013-06-25,0.953812636166
176,2013-06-26,0.954209099568
177,2013-06-27,0.958305757776
178,2013-06-28,0.953769870206
179,2013-06-29,0.951470259412
180,2013-06-30,0.951079332377
181,2013-07-01,0.950634388216
182,2013-07-02,0.946277987787
183,2013-07-03,0.948404566745
184,2013-07-04,0.948429510592
185,2013-07-05,0.95049431902
186,2013-07-06,0.945918974474
187,2013-07-07,0.945327012246
188,2013-07-08,0.947151175647
189,2013-07-09,0.94829620888
190,2013-07-10,0.950871985158
191,2013-07-11,0.961096374889
192,2013-07-12,0.962842579597
193,2013-07-13,0.96215738778
194,2013-07-14,0.961822384103
195,2013-07-15,0.959021226415
196,2013-07-16,0.960533059969
197,2013-07-17,0.961921499707
198,2013-07-18,0.959897360704
199,2013-07-19,0.963651050081
200,2013-07-20,0.963651050081
201,2013-07-21,0.964588974169
202,2013-07-22,0.966808635629
203,2013-07-23,0.967694566814
204,2013-07-24,0.973684210526
205,2013-07-25,0.971235194585
206,2013-07-26,0.972283326001
207,2013-07-27,0.972751290838
208,2013-07-28,0.972769269832
209,2013-07-29,0.973159284248
210,2013-07-30,0.974686330619
211,2013-07-31,0.971175652937
212,2013-08-01,0.971093176816
213,2013-08-02,0.961336828309
214,2013-08-03,0.962743742648
215,2013-08-04,0.962412961777
216,2013-08-05,0.961906835002
217,2013-08-06,0.963855421687
218,2013-08-07,0.959402942025
219,2013-08-08,0.960529153785
220,2013-08-09,0.971733759628
221,2013-08-10,0.9717105896
222,2013-08-11,0.972081810406
223,2013-08-12,0.969838603666
224,2013-08-13,0.969012030623
225,2013-08-14,0.969086151759
226,2013-08-15,0.967211529161
227,2013-08-16,0.968702345509
228,2013-08-17,0.967815302128
229,2013-08-18,0.967580255946
230,2013-08-19,0.967938488321
231,2013-08-20,0.963661221846
232,2013-08-21,0.958327366461
233,2013-08-22,0.952731693364
234,2013-08-23,0.946223607765
235,2013-08-24,0.951924028846
236,2013-08-25,0.952456241779
237,2013-08-26,0.950014220705
238,2013-08-27,0.95
239,2013-08-28,0.953289050782
240,2013-08-29,0.952811893988
241,2013-08-30,0.949698622273
242,2013-08-31,0.949205183041
243,2013-09-01,0.949139415295
244,2013-09-02,0.949665636011
245,2013-09-03,0.950086555107
246,2013-09-04,0.953453018677
247,2013-09-05,0.954108549541
248,2013-09-06,0.958704867709
249,2013-09-07,0.96004669667
250,2013-09-08,0.960728308917
251,2013-09-09,0.963135995328
252,2013-09-10,0.967553346975
253,2013-09-11,0.967337416156
254,2013-09-12,0.969012030623
255,2013-09-13,0.967683237499
256,2013-09-14,0.966382453589
257,2013-09-15,0.966126634081
258,2013-09-16,0.970782760375
259,2013-09-17,0.969652969363
260,2013-09-18,0.970207818631
261,2013-09-19,0.979463446381
262,2013-09-20,0.972370125198
263,2013-09-21,0.971042540407
264,2013-09-22,0.970697552974
265,2013-09-23,0.971169746207
266,2013-09-24,0.972288374107
267,2013-09-25,0.96983625395
268,2013-09-26,0.970522683155
269,2013-09-27,0.969213145271
270,2013-09-28,0.970125941753
271,2013-09-29,0.970253954268
272,2013-09-30,0.970744680851
273,2013-10-01,0.967773153973
274,2013-10-02,0.966185301687
275,2013-10-03,0.967337934961
276,2013-10-04,0.968024497935
277,2013-10-05,0.970723936794
278,2013-10-06,0.971149102468
279,2013-10-07,0.968736616702
280,2013-10-08,0.970130055738
281,2013-10-09,0.963361608098
282,2013-10-10,0.962926065609
283,2013-10-11,0.962537249894
284,2013-10-12,0.965420566161
285,2013-10-13,0.9660062404
286,2013-10-14,0.966028060679
287,2013-10-15,0.965509838998
288,2013-10-16,0.964029288405
289,2013-10-17,0.971071149335
290,2013-10-18,0.97125416992
291,2013-10-19,0.971779522659
292,2013-10-20,0.971873022844
